tissue,pathway,mean,std,n
colon,HALLMARK_BILE_ACID_METABOLISM,1.2930714026571432e-17,0.9997724945938024,2198
colon,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3.232678506642858e-18,0.9997724945938024,2198
colon,HALLMARK_IL6_JAK_STAT3_SIGNALING,1.616339253321429e-17,0.9997724945938024,2198
colon,HALLMARK_INFLAMMATORY_RESPONSE,1.939607103985715e-17,0.9997724945938024,2198
colon,HALLMARK_MTORC1_SIGNALING,6.465357013285716e-18,0.9997724945938024,2198
colon,HALLMARK_P53_PATHWAY,2.262874954650001e-17,0.9997724945938024,2198
colon,HALLMARK_PI3K_AKT_MTOR_SIGNALING,-6.465357013285716e-18,0.9997724945938026,2198
colon,HALLMARK_TGF_BETA_SIGNALING,1.939607103985715e-17,0.9997724945938026,2198
colon,HALLMARK_TNFA_SIGNALING_VIA_NFKB,9.698035519928576e-18,0.9997724945938024,2198
colon,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.0,0.9997724945938024,2198
colon,KEGG_BILE_SECRETION,6.465357013285716e-18,0.9997724945938024,2198
colon,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,1.2930714026571432e-17,0.9997724945938024,2198
colon,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.0,0.9997724945938024,2198
colon,REACTOME_INTERLEUKIN_23_SIGNALING,-3.232678506642858e-17,0.9997724945938024,2198
colon,REACTOME_NOD1_NOD2_SIGNALING_PATHWAY,1.939607103985715e-17,0.9997724945938024,2198
ileum,HALLMARK_BILE_ACID_METABOLISM,2.1975548528662888e-17,0.9994844031624248,970
ileum,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-2.563813995010671e-17,0.9994844031624248,970
ileum,HALLMARK_IL6_JAK_STAT3_SIGNALING,-3.296332279299434e-17,0.9994844031624248,970
ileum,HALLMARK_INFLAMMATORY_RESPONSE,1.4650365685775262e-17,0.9994844031624248,970
ileum,HALLMARK_MTORC1_SIGNALING,-1.831295710721908e-17,0.9994844031624248,970
ileum,HALLMARK_P53_PATHWAY,1.4650365685775262e-17,0.9994844031624248,970
ileum,HALLMARK_PI3K_AKT_MTOR_SIGNALING,2.563813995010671e-17,0.9994844031624248,970
ileum,HALLMARK_TGF_BETA_SIGNALING,5.127627990021342e-17,0.9994844031624248,970
ileum,HALLMARK_TNFA_SIGNALING_VIA_NFKB,7.325182842887631e-18,0.9994844031624248,970
ileum,HALLMARK_WNT_BETA_CATENIN_SIGNALING,-2.9300731371550524e-17,0.9994844031624248,970
ileum,KEGG_BILE_SECRETION,2.1975548528662888e-17,0.9994844031624248,970
ileum,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,3.021637922691148e-17,0.9994844031624248,970
ileum,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,3.6625914214438153e-17,0.9994844031624248,970
ileum,REACTOME_INTERLEUKIN_23_SIGNALING,1.4650365685775262e-17,0.9994844031624248,970
ileum,REACTOME_NOD1_NOD2_SIGNALING_PATHWAY,3.845720992516006e-17,0.9994844031624248,970
colon,REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS,0.0467959093615254,4.927613917016647,2198
ileum,REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS,-0.8770471121880324,4.471677252693769,970
